t,r0_x,r0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y,rdot4_x,rdot4_y,rddot4_x,rddot4_y,r5_x,r5_y,rdot5_x,rdot5_y,rddot5_x,rddot5_y,r6_x,r6_y,rdot6_x,rdot6_y,rddot6_x,rddot6_y,r7_x,r7_y
0.7000000000000001,0.0,0.0,4.777553654076111,-2.3254926707185204,-1.4852422476160152,-6.068609430685344,-6.719052332523601,-3.061617854275976,9.924455026467005,-2.4031307235212473,-0.6615107194524907,-6.860820846580059,-4.3817701401293565,-9.698963555292,14.984289738822905,-2.4034498064479433,-0.16883824629348956,-6.866993216701261,-1.4207099971864094,-9.809811335355855,20.015710261177095,-2.4034498064479433,0.1688382462935141,-6.866993216701261,1.4207099971865818,-9.809811335355855,25.075544973533,-2.4031307235212482,0.6615107194524985,-6.860820846580059,4.381770140128804,-9.698963555292005,30.222446345923885,-2.3254926707185213,1.485242247615976,-6.068609430685345,6.719052332524171,-3.0616178542758767,35.0,0.0
0.71,0.0,0.0,4.762353139245853,-2.3863188931839803,-1.5531521379656863,-6.096992150904985,-6.8091694416356265,-2.620433851461481,9.917625315872781,-2.4722235003850983,-0.7060142639297038,-6.957723745570505,-4.552964972453791,-9.680301059735337,14.982532210150433,-2.4726102274184836,-0.1834420235805601,-6.96509092892411,-1.4985664576717408,-9.8097522041685,20.01746778984957,-2.4726102274184836,0.18344202358058695,-6.96509092892411,1.4985664576717408,-9.8097522041685,25.08237468412722,-2.472223500385099,0.7060142639297053,-6.957723745570505,4.552964972453349,-9.680301059735346,30.23764686075414,-2.3863188931839816,1.5531521379656528,-6.096992150904985,6.809169441636385,-2.620433851461325,35.0,0.0
0.72,0.0,0.0,4.746482326811418,-2.4474143754823534,-1.6216625135389613,-6.120932757506664,-6.888699007747146,-2.163201582232837,9.910334833901354,-2.5422838202908404,-0.752375363474999,-7.0544207758416295,-4.720446860362472,-9.659035757070207,14.980621979736956,-2.542751609020077,-0.1988115832181981,-7.063187945803171,-1.5765563294824387,-9.809675762499825,20.019378020263044,-2.542751609020077,0.19881158321822634,-7.063187945803171,1.5765563294826945,-9.809675762499825,25.08966516609865,-2.5422838202908404,0.7523753634749925,-7.05442077584163,4.720446860361475,-9.659035757070221,30.253517673188572,-2.4474143754823543,1.6216625135389373,-6.1209327575066625,6.888699007748301,-2.163201582232616,35.0,0.0
0.73,0.0,0.0,4.72995525470005,-2.5087488284611292,-1.6906446078419348,-6.140334319273825,-6.95931180665033,-1.6897060991979007,9.902562381086211,-2.6133061370036272,-0.8005581169314587,-7.150873657985209,-4.881910807280222,-9.634941816098532,14.978552427001413,-2.6138738648341318,-0.21490915105966132,-7.1612833789550185,-1.6547465595847708,-9.80957504170347,20.02144757299859,-2.6138738648341318,0.21490915105969105,-7.1612833789550185,1.654746559584769,-9.80957504170347,25.09743761891379,-2.6133061370036272,0.8005581169314449,-7.15087365798521,4.881910807279684,-9.634941816098543,30.27004474529994,-2.50874882846113,1.6906446078419202,-6.140334319273822,6.959311806651215,-1.689706099197723,35.0,0.0
0.74,0.0,0.0,4.712757359773176,-2.5702686199552085,-1.7600764690062465,-6.155001386433623,-7.019203415450125,-1.2007450114726108,9.894293584292296,-2.685289263925567,-0.8504479517598151,-7.247060028217301,-5.0372428103487366,-9.607699589193231,14.976316349082786,-2.685977023397156,-0.23174610077523136,-7.259377408363079,-1.7327754371413686,-9.809444985122346,20.023683650917214,-2.685977023397156,0.23174610077526242,-7.259377408363079,1.732775437141564,-9.809444985122344,25.105706415707708,-2.685289263925567,0.8504479517597942,-7.247060028217302,5.03724281034788,-9.607699589193246,30.287242640226815,-2.5702686199552094,1.7600764690062418,-6.155001386433617,7.019203415451145,-1.2007450114724048,35.0,0.0
0.75,0.0,0.0,4.69487134223661,-2.631915996307561,-1.8299202942201784,-6.164738125141101,-7.066095648658401,-0.6973854803349493,9.885515421609472,-2.758232269876187,-0.9019315027148999,-7.34295556538866,-5.186647352397694,-9.576949481191942,14.97390635660861,-2.759061121905634,-0.24933791446859938,-7.357470218807042,-1.8101857274940816,-9.80928009598933,20.02609364339139,-2.759061121905634,0.24933791446863154,-7.357470218807042,1.810185727494166,-9.80928009598933,25.11448457839053,-2.758232269876187,0.9019315027148719,-7.342955565388662,5.186647352397102,-9.576949481191956,30.305128657763383,-2.631915996307562,1.8299202942201833,-6.164738125141093,7.0660956486592,-0.6973854803347859,35.0,0.0
0.76,0.0,0.0,4.6762832794887155,-2.693633539257695,-1.900113303702509,-6.169369320499693,-7.097923922304545,-0.18077646709795836,9.876215259053108,-2.8321334378215246,-0.954900784942412,-7.438529966116662,-5.330226370903597,-9.542306955605813,14.971315223845918,-2.8331261808434665,-0.2676930181036556,-7.455561751266739,-1.886525369691748,-9.809073522391046,20.028684776154083,-2.8331261808434665,0.26769301810368873,-7.455561751266739,1.8865253696918334,-9.809073522391046,25.123784740946896,-2.8321334378215246,0.9549007849423775,-7.438529966116663,5.330226370902853,-9.542306955605829,30.323716720511275,-2.6936335392576956,1.9001133037025233,-6.169369320499683,7.097923922305526,-0.18077646709775763,35.0,0.0
0.77,0.0,0.0,4.656982626120412,-2.7553641659416557,-1.970567740702513,-6.168740376561221,-7.112834262758234,0.34785456274211946,9.866380850564054,-2.906990264874126,-1.0092531939789182,-7.5337469447852925,-5.467982166077501,-9.503362976811669,14.968535888701249,-2.908172203981969,-0.28681278150448936,-7.553651702922145,-1.96134748498209,-9.80881676279627,20.031464111298753,-2.908172203981969,0.2868127815045232,-7.553651702922145,1.9613474849820953,-9.80881676279627,25.133619149435948,-2.906990264874126,1.0092531939788776,-7.533746944785294,5.467982166076954,-9.503362976811683,30.34301737387958,-2.755364165941656,1.9705677407025368,-6.1687403765612085,7.112834262759151,0.3478545627423504,35.0,0.0
0.78,0.0,0.0,4.636962213915169,-2.8170511288920266,-2.041170871499963,-6.162717316325894,-7.109180069767319,0.8872051440517605,9.856000338008661,-2.9827994622930496,-1.0648915057518527,-7.628564233545157,-5.599820346569581,-9.459684676475682,14.965561452720639,-2.984199178379875,-0.30669151835538916,-7.6517395271533735,-2.0342103880918128,-9.808499335716819,20.03443854727936,-2.984199178379875,0.3066915183554235,-7.651739527153373,2.034210388091843,-9.808499335716817,25.14399966199134,-2.982799462293049,1.0648915057518067,-7.628564233545159,5.599820346569096,-9.459684676475696,30.363037786084824,-2.817051128892027,2.041170871499995,-6.16271731632588,7.109180069768058,0.8872051440519169,35.0,0.0
0.79,0.0,0.0,4.616218251849007,-2.8786380160379306,-2.111784985405126,-6.151186781742311,-7.085518657122044,1.4359015087902627,9.845062251178769,-3.0595569554838606,-1.1217238765795168,-7.722933582313477,-5.725552793146642,-9.410816264362115,14.962385181089632,-3.061207074383332,-0.3273164862008425,-7.74982443354068,-2.1046776018560145,-9.808108413172452,20.03761481891037,-3.061207074383332,0.32731648620087717,-7.749824433540679,2.10467760185602,-9.808108413172452,25.154937748821233,-3.0595569554838606,1.1217238765794664,-7.722933582313479,5.725552793146093,-9.410816264362133,30.383781748150984,-2.8786380160379306,2.1117849854051656,-6.151186781742295,7.085518657122947,1.435901508790474,35.0,0.0
