t,r0_x,r0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y
1.74,0.0,0.0,6.7877668607142025,-3.737431636285953,-0.3053534833343149,4.959645499756846,-3.263468304457888,0.45955539491024133,13.999999999999996,-6.275681908472732,-7.832169039095001e-14,9.141869192271606,9.663381206337363e-13,20.20707223228196,21.212233139285804,-3.737431636285946,0.3053534833344401,4.959645499756896,3.2634683044563815,0.4595553949095734,28.0,0.0
1.75,0.0,0.0,6.784564121298576,-3.687822982042127,-0.3336584435231924,4.9609203866391285,-2.4147564062716356,-0.19477263188087157,13.999999999999996,-6.183269912191793,-6.750734641043464e-14,9.339125710801191,1.0231815394945443e-12,19.236858217259588,21.21543587870143,-3.6878229820421193,0.33365844352330026,4.960920386639171,2.4147564062700724,-0.19477263188158922,28.0,0.0
1.76,0.0,0.0,6.781117429097554,-3.6382324950571343,-0.353439373890866,4.955748695732938,-1.5683029091978682,-0.8248733811192164,13.999999999999996,-6.088934608319917,-5.4448612826237483e-14,9.526623596200036,1.1510792319313623e-12,18.25206750162669,21.218882570902455,-3.6382324950571263,0.3534393738909532,4.9557486957329715,1.5683029091959497,-0.8248733811200406,28.0,0.0
1.77,0.0,0.0,6.7775132644471485,-3.588724059796864,-0.3648168696112355,4.944411248961174,-0.7337104042005791,-1.4272016125290872,13.999999999999995,-5.992773769160366,-3.998120081703803e-14,9.704202198205056,1.5916157281026244e-12,17.253044723755217,21.222486735552863,-3.5887240597968555,0.36481686961129983,4.944411248961199,0.733710404198149,-1.427201612530089,28.0,0.0
1.78,0.0,0.0,6.773839502177369,-3.539359891972714,-0.36802685925609246,4.927236678823438,0.07930208417435836,-1.998434463873016,13.999999999999995,-5.894886423731822,-2.5273142488112262e-14,9.87169485505299,1.6768808563938364e-12,16.240280780679328,21.226160497822644,-3.5393598919727056,0.3680268592561333,4.927236678823453,-0.07930208417701579,-1.998434463874089,28.0,0.0
1.79,0.0,0.0,6.770170133416726,-3.4901948128817404,-0.3633295276939942,4.904547103905878,0.8630273144851515,-2.5363607794093905,13.999999999999995,-5.795375127415704,-1.1303422056302005e-14,10.028967786605136,1.4210854715202004e-12,15.215167468444614,21.229829866583284,-3.490194812881732,0.36332952769401267,4.904547103905883,-0.8630273144873115,-2.536360779410275,28.0,0.0
1.8,0.0,0.0,6.766583697074589,-3.4412820239306416,-0.3510151951619928,4.876670370405119,1.6092409522037343,-3.0388022619318757,13.999999999999995,-5.694343272343326,2.7142388432058194e-15,10.175919712681841,1.6413537196058314e-12,14.179058486868366,21.233416302925423,-3.441282023930633,0.35101519516198887,4.876670370405115,-1.609240952206278,-3.0388022619328634,28.0,0.0
1.81,0.0,0.0,6.763159676955758,-3.3926730494528057,-0.3314661624374411,4.843960547750319,2.3096033743011333,-3.5037701198505697,13.999999999999995,-5.591894084862758,1.7524536233342375e-14,10.312459834998434,1.4637180356658064e-12,13.13338790529624,21.23684032304425,-3.3926730494527972,0.3314661624374139,4.8439605477503065,-2.3096033743033217,-3.5037701198514117,28.0,0.0
1.82,0.0,0.0,6.759970270107464,-3.3444151028332683,-0.305141489435819,4.806784000476505,2.9567839530832316,-3.9299077318554207,13.999999999999995,-5.488131512555648,3.335892570766019e-14,10.438514946313623,1.6271428648906294e-12,12.080035646196274,21.240029729892548,-3.34441510283326,0.3051414894357672,4.806784000476483,-2.9567839530857896,-3.929907731856373,28.0,0.0
1.83,0.0,0.0,6.757080386819369,-3.296551086508714,-0.27257699521073364,4.76551938822457,3.5444631604263463,-4.31645896526369,13.999999999999995,-5.383160224237216,4.993562243033325e-14,10.5540294304295,1.3358203432289883e-12,11.021286942009416,21.24291961318064,-3.296551086508706,0.2725769952106565,4.76551938822454,-3.5444631604283643,-4.316458965264429,28.0,0.0
1.84,0.0,0.0,6.754547650623567,-3.2491195919674762,-0.23438525795391923,4.720557665741281,4.0673341823551965,-4.663233931322894,13.999999999999996,-5.277085609956259,6.64596011361568e-14,10.658965262191542,1.2718714970105793e-12,9.959788440367442,21.245452349376443,-3.2491195919674682,0.23438525795381704,4.720557665741242,-4.067334182357257,-4.663233931323658,28.0,0.0
1.85,0.0,0.0,6.752422398294583,-3.202154899749537,-0.19125561499523722,4.67230208287927,4.521103811461707,-4.970572337770195,13.999999999999996,-5.1700137809951485,8.162259613054764e-14,10.753302007488601,1.0089706847793423e-12,8.898501238056332,21.247577601705423,-3.2021548997495297,0.19125561499511204,4.672302082879223,-4.521103811463291,-4.97057233777077,28.0,0.0
1.86,0.0,0.0,6.750747679849375,-3.1556869794465277,-0.1439541628026762,4.621168184597038,4.902492385922471,-5.23930462860641,13.999999999999998,-5.062051569869829,9.360310128954375e-14,10.837036823252921,7.318590178329032e-13,7.84065114804679,21.24925232015063,-3.1556869794465205,0.14395416280253268,4.621168184596985,-4.902492385923736,-5.239304628606904,28.0,0.0
1.87,0.0,0.0,6.749557857668947,-3.109741322275809,-0.09329993068708005,4.567576388378985,5.20941121068298,-5.470770812348318,13.999999999999998,-4.953306368543426,1.0046560064811118e-13,10.910187219579145,5.258016244624741e-13,6.789720456025252,21.250442142331057,-3.109741322275802,0.0932999306869252,4.567576388378927,-5.2094112106838395,-5.470770812348649,28.0,0.0
1.8800000000000001,0.0,0.0,6.748874106313238,-3.064339088438609,-0.039961762600355416,4.511872356588622,5.441485470994486,-5.666931796572316,14.0,-4.84388387337178,1.0390721106758247e-13,10.972841045096473,3.019806626980426e-13,5.749485151695795,21.251125893686766,-3.064339088438603,0.039961762600195,4.511872356588563,-5.44148547099509,-5.666931796572582,28.0,0.0
1.8900000000000001,0.0,0.0,6.748726744482228,-3.019501015914383,0.015293108969904629,4.454389345068137,5.597112604263344,-5.829341215006503,14.0,-4.7338879861923395,1.047682279296326e-13,11.025147955484398,1.9895196601282805e-13,4.723220647831976,21.251273255517773,-3.019501015914378,-0.015293108970066804,4.454389345068075,-5.597112604263685,-5.8293412150066555,28.0,0.0
