t,r0_x,r0_y,rdot0_x,rdot0_y,rddot0_x,rddot0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y,rdot4_x,rdot4_y,rddot4_x,rddot4_y,rLeft_x,rLeft_y,rRight_x,rRight_y
8.35,5.987560849918673,-3.6417899289160482,1.0560252022759842,-4.8700617207190025,-20.419647411522902,1.9593360539256128,11.58729451114849,-7.164212409197687,-0.30776935665108074,-9.312815754205111,-3.626874128450936,6.343002629505081,18.000000000000014,-7.978713504928194,1.619561693324567e-13,-12.818128081417402,-3.61666252501891e-12,-2.790843857081059,24.412705488851476,-7.164212409197679,0.30776935665072797,-9.312815754205213,3.6268741284565778,6.343002629506481,30.012439150081345,-3.6417899289160536,-1.056025202275882,-4.8700617207188746,20.419647411520202,1.9593360539243267,0.0,0.0,36.0,0.0
8.36,5.99709457825671,-3.6903889981264344,0.8466086945235586,-4.84695743384695,-21.449474800376578,2.6576001121912487,11.584028016147505,-7.257012464237644,-0.3444444270256936,-9.247316899286144,-3.6995220612983886,6.755794982471594,18.000000000000014,-8.107027508924071,1.2580852455812034e-13,-12.843965538340214,-3.886668764607748e-12,-2.370560496023364,24.415971983852458,-7.257012464237637,0.34444442702539846,-9.247316899286231,3.6995220613045774,6.755794982473228,30.00290542174331,-3.6903889981264384,-0.8466086945234856,-4.846957433846836,21.449474800373423,2.657600112189664,0.0,0.0,36.0,0.0
8.370000000000001,6.004479969153606,-3.7387192580476825,0.6278083791906383,-4.817304280183893,-22.297032508093253,3.2690186887541532,11.580393090107423,-7.3491380741658885,-0.3820315438136205,-9.17749908885157,-3.810560268448704,7.206448609383932,18.000000000000018,-8.23557872968742,8.584976403747582e-14,-12.865462831965756,-4.455102953215828e-12,-1.922635554777413,24.419606909892536,-7.349138074165882,0.38203154381338866,-9.17749908885164,3.8105602684556317,7.2064486093857685,29.995520030846414,-3.7387192580476856,-0.6278083791905985,-4.817304280183796,22.297032508089956,3.2690186887524835,0.0,0.0,36.0,0.0
8.38,6.009629886618085,-3.7867182112065265,0.4014289505064642,-4.781972291720765,-22.955918864800708,3.787058095656173,11.576380221079456,-7.44054509001094,-0.42088037576057724,-9.10299788057213,-3.9607875280862643,7.69643206623366,18.000000000000018,-8.364322112948106,4.254782624564407e-14,-12.88232987512681,-4.440892098500626e-12,-1.4451727208882783,24.423619778920504,-7.440545090010934,0.42088037576041387,-9.102997880572179,3.960787528093192,7.696432066235582,29.990370113381935,-3.7867182112065287,-0.40142895050646155,-4.781972291720687,22.95591886479724,3.7870580956543964,0.0,0.0,36.0,0.0
8.39,6.012478763732693,-3.834334668317185,0.16933529161022065,-4.741893999976685,-23.42258425548242,4.206944022338144,11.571974797645337,-7.531184590788341,-0.4613528060180137,-9.023435778841215,-4.149179907971224,8.226018584116341,18.000000000000018,-8.493209536636043,-3.1129137567001424e-15,-12.894257955993217,-4.547473508864641e-12,-0.9360757811411329,24.42802520235462,-7.531184590788335,0.46135280601792217,-9.023435778841243,4.1491799079783505,8.226018584118352,29.987521236267327,-3.8343346683171866,-0.1693352916102573,-4.741893999976626,23.42258425547891,4.206944022336318,0.0,0.0,36.0,0.0
8.4,6.012982602653792,-3.881528748281327,-0.0665475254488117,-4.6980644359989725,-23.69627620298371,4.525729401800051,11.567157108917348,-7.621002883500584,-0.5038229321430872,-8.938422234774931,-4.372933575642229,8.794234340990924,18.000000000000018,-8.62218981088111,-4.9631644323300916e-14,-12.900919738071844,-4.675371201301459e-12,-0.3930307129668176,24.432842891082608,-7.621002883500577,0.503822932143069,-8.938422234774936,4.372933575649554,8.794234340993002,29.98701739734623,-3.8815287482813283,0.06654752544873532,-4.698064435998934,23.69627620298013,4.525729401798161,0.0,0.0,36.0,0.0
8.41,6.011118974611567,-3.928271878188079,-0.30423423971129493,-4.651541130363145,-23.778986360951308,4.742355065864389,11.561902344538296,-7.709941503137132,-0.5486770660986693,-8.84755364621207,-4.627504907026022,9.39881374620571,18.000000000000014,-8.751208678013176,-9.499111722232756e-14,-12.901969260206602,-4.199307568342192e-12,0.18651280821011973,24.43809765546166,-7.709941503137126,0.5486770660987226,-8.847553646212054,4.627504907032687,9.398813746207674,29.98888102538845,-3.92827187818808,0.30423423971118035,-4.651541130363127,23.778986360948068,4.742355065862563,0.0,0.0,36.0,0.0
8.42,6.006889256053521,-3.9745486203151357,-0.541725866691263,-4.603406512510501,-23.675755138309796,4.857947850201535,11.556179296687759,-7.7979365671682555,-0.596283230622433,-8.75043656546016,-4.906354104015826,10.036000184121685,18.000000000000014,-8.880208628152428,-1.3692402798747091e-13,-12.897037958544892,-4.177991286269389e-12,0.8053896376687266,24.4438207033122,-7.79793656716825,0.5962832306225535,-8.750436565460125,4.906354104022341,10.036000184123646,29.993110743946495,-3.974548620315136,0.5417258666911174,-4.603406512510501,23.67575513830667,4.85794785019983,0.0,0.0,36.0,0.0
8.43,6.0003275187702085,-4.020365197840599,-0.7774362077056387,-4.554450105046276,-23.396065058860344,4.876902691597168,11.549945585871917,-7.884916432359296,-0.6466891237876866,-8.646893754707076,-5.199841054488708,10.69985474423209,18.00000000000001,-9.009127379309268,-1.758440028364091e-13,-12.885695014260946,-3.495870259939693e-12,1.4668430936307875,24.450054414128044,-7.88491643235929,0.6466891237878698,-8.646893754707023,5.199841054494385,10.69985474423382,29.99967248122981,-4.0203651978406,0.7774362077054624,-4.554450105046293,23.396065058857403,4.8769026915956335,0.0,0.0,36.0,0.0
8.44,5.991451471446962,-4.065711748326696,-1.0095413378158578,-4.5057228830944025,-22.94604855178936,4.8015812426689255,11.543177491286631,-7.970817149485878,-0.7000409841584392,-8.536631433094819,-5.5018139944764215,11.38585108490352,18.00000000000001,-9.137899805461762,-2.1132349626115525e-13,-12.867502310617153,-3.446132268436486e-12,2.173807103461799,24.45682250871333,-7.970817149485872,0.7000409841586799,-8.53663143309475,5.501813994481978,11.385851084905235,30.008548528553053,-4.065711748326697,1.0095413378156528,-4.5057228830944345,22.946048551786703,4.801581242667433,0.0,0.0,36.0,0.0
